time,u,v
0.15000000000000002,6665,-31762
0.2,6328,-30133
0.25,5936,-28210
0.3,5517,-26127
0.35,5158,-24341
0.39999999999999997,5023,-23729
0.44999999999999996,4998,-23694
0.49999999999999994,5021,-23910
0.5499999999999999,5061,-24227
0.6,5107,-24571
0.65,5150,-24910
0.7000000000000001,5190,-25230
0.7500000000000001,5226,-25529
0.8000000000000002,5257,-25808
0.8500000000000002,5285,-26071
0.9000000000000002,5311,-26323
0.9500000000000003,5334,-26567
1.0000000000000002,5357,-26806
1.0500000000000003,5378,-27042
1.1000000000000003,5400,-27278
1.1500000000000004,5421,-27515
1.2000000000000004,5441,-27753
1.2500000000000004,5462,-27994
1.3000000000000005,5483,-28235
1.3500000000000005,5504,-28481
1.4000000000000006,5526,-28731
1.4500000000000006,5547,-28985
1.5000000000000007,5570,-29244
1.5500000000000007,5592,-29507
1.6000000000000008,5615,-29775
1.6500000000000008,5639,-30048
1.7000000000000008,5663,-30326
1.7500000000000009,5687,-30609
1.800000000000001,5712,-30897
1.850000000000001,5737,-31191
1.900000000000001,5763,-31490
1.950000000000001,5789,-31795
2.000000000000001,5815,-32106
2.0500000000000007,5843,-32423
2.1000000000000005,5870,-32746
2.1500000000000004,5899,-33076
2.2,5928,-33412
2.25,5957,-33755
2.3,5987,-34106
2.3499999999999996,6018,-34463
2.3999999999999995,6049,-34828
2.4499999999999993,6081,-35201
2.499999999999999,6114,-35581
2.549999999999999,6147,-35970
2.5999999999999988,6181,-36368
2.6499999999999986,6216,-36774
2.6999999999999984,6252,-37189
2.7499999999999982,6288,-37614
2.799999999999998,6326,-38048
2.849999999999998,6364,-38493
2.8999999999999977,6403,-38947
2.9499999999999975,6443,-39413
2.9999999999999973,6484,-39890
3.049999999999997,6526,-40378
3.099999999999997,6569,-40879
3.149999999999997,6613,-41391
3.1999999999999966,6658,-41917
3.2499999999999964,6704,-42456
3.2999999999999963,6752,-43009
3.349999999999996,6800,-43577
3.399999999999996,6850,-44159
3.4499999999999957,6902,-44758
3.4999999999999956,6954,-45372
3.5499999999999954,7009,-46004
3.599999999999995,7064,-46653
3.649999999999995,7122,-47320
3.699999999999995,7181,-48007
3.7499999999999947,7241,-48714
3.7999999999999945,7304,-49442
3.8499999999999943,7368,-50192
3.899999999999994,7435,-50964
3.949999999999994,7503,-51761
3.999999999999994,7573,-52583
4.049999999999994,7646,-53431
4.099999999999993,7721,-54307
4.149999999999993,7799,-55212
4.199999999999993,7879,-56147
4.249999999999993,7962,-57114
4.299999999999993,8048,-58115
4.3499999999999925,8137,-59151
4.399999999999992,8230,-60225
4.449999999999992,8325,-61339
4.499999999999992,8424,-62493
4.549999999999992,8527,-63692
4.599999999999992,8634,-64938
4.6499999999999915,8745,-66233
4.699999999999991,8861,-67581
4.749999999999991,8982,-68984
4.799999999999991,9107,-70446
4.849999999999991,9238,-71971
4.899999999999991,9375,-73564
4.94999999999999,9518,-75228
4.99999999999999,9667,-76969
5.04999999999999,9824,-78791
5.09999999999999,9988,-80702
5.14999999999999,10160,-82708
5.1999999999999895,10341,-84815
5.249999999999989,10531,-87032
5.299999999999989,10731,-89367
5.349999999999989,10943,-91831
5.399999999999989,11166,-94433
5.449999999999989,11403,-97187
5.4999999999999885,11653,-100106
5.549999999999988,11919,-103204
5.599999999999988,12202,-106500
5.649999999999988,12504,-110013
5.699999999999988,12826,-113764
5.749999999999988,13171,-117780
5.799999999999987,13541,-122088
5.849999999999987,13939,-126722
5.899999999999987,14368,-131721
5.949999999999987,14832,-137129
5.999999999999987,15336,-142999
6.0499999999999865,15885,-149393
6.099999999999986,16485,-156383
6.149999999999986,17144,-164058
6.199999999999986,17871,-172523
6.249999999999986,18676,-181908
6.299999999999986,19575,-192369
6.349999999999985,20582,-204105
6.399999999999985,21720,-217363
6.449999999999985,23016,-232459
6.499999999999985,24506,-249804
6.549999999999985,26234,-269942
6.5999999999999845,28266,-293606
6.649999999999984,30688,-321811
6.699999999999984,33623,-356002
6.749999999999984,37255,-398313
6.799999999999984,41867,-452024
6.849999999999984,47914,-522460
6.8999999999999835,56191,-618875
6.949999999999983,68212,-758891
6.999999999999983,87258,-980726
7.049999999999983,122026,-1385701
7.099999999999983,205673,-2360008
7.149999999999983,685194,-7945366
