frame,ped_id,world_pX,world_pZ,world_pY,bb_left,bb_top,bb_w,bb_h
1,1,1.5005,4.5456,1.6485,507.04,295.06,50.00,150.00
1,2,2.0786,3.5079,1.6485,612.02,337.97,50.00,150.00
1,4,-3.4416,4.8376,1.6485,90.43,286.31,50.00,150.00
2,1,1.4956,4.5472,1.6485,506.56,295.01,50.00,150.00
2,2,2.0802,3.5048,1.6485,612.42,338.14,50.00,150.00
2,4,-3.4361,4.8466,1.6485,91.41,286.06,50.00,150.00
3,1,1.4873,4.5528,1.6485,505.67,294.83,50.00,150.00
3,2,2.0841,3.4978,1.6485,613.33,338.52,50.00,150.00
3,4,-3.4265,4.8592,1.6485,92.94,285.70,50.00,150.00
4,1,1.4753,4.5619,1.6485,504.36,294.54,50.00,150.00
4,2,2.0901,3.4869,1.6485,614.76,339.11,50.00,150.00
4,4,-3.4131,4.8758,1.6485,95.00,285.24,50.00,150.00
5,1,1.4596,4.5743,1.6485,502.63,294.15,50.00,150.00
5,2,2.0984,3.4723,1.6485,616.73,339.90,50.00,150.00
5,4,-3.3962,4.8966,1.6485,97.57,284.67,50.00,150.00
6,1,1.4398,4.5897,1.6485,500.48,293.67,50.00,150.00
6,2,2.1090,3.4538,1.6485,619.25,340.92,50.00,150.00
6,4,-3.3759,4.9215,1.6485,100.62,283.98,50.00,150.00
7,1,1.4157,4.6078,1.6485,497.90,293.11,50.00,150.00
7,2,2.1222,3.4318,1.6485,622.36,342.15,50.00,150.00
7,4,-3.3525,4.9510,1.6485,104.14,283.19,50.00,150.00
8,1,1.3872,4.6281,1.6485,494.89,292.48,50.00,150.00
8,2,2.1380,3.4061,1.6485,626.08,343.59,50.00,150.00
8,4,-3.3261,4.9850,1.6485,108.11,282.28,50.00,150.00
9,1,1.3538,4.6503,1.6485,491.44,291.80,50.00,150.00
9,2,2.1568,3.3771,1.6485,630.46,345.26,50.00,150.00
9,4,-3.2970,5.0237,1.6485,112.49,281.26,50.00,150.00
10,1,1.3152,4.6737,1.6485,487.56,291.09,50.00,150.00
10,2,2.1788,3.3450,1.6485,635.55,347.13,50.00,150.00
10,4,-3.2654,5.0673,1.6485,117.24,280.13,50.00,150.00
11,1,1.2711,4.6974,1.6485,483.24,290.38,50.00,150.00
11,2,2.2045,3.3100,1.6485,641.41,349.21,50.00,150.00
11,4,-3.2315,5.1160,1.6485,122.34,278.89,50.00,150.00
12,1,1.2213,4.7204,1.6485,478.49,289.69,50.00,150.00
12,2,2.2346,3.2729,1.6485,648.10,351.47,50.00,150.00
12,4,-3.2065,5.1740,1.6485,127.10,277.44,50.00,150.00
13,1,1.1654,4.7415,1.6485,473.31,289.07,50.00,150.00
13,2,2.2697,3.2344,1.6485,655.69,353.87,50.00,150.00
13,4,-3.1868,5.2391,1.6485,131.69,275.86,50.00,150.00
14,1,1.1033,4.7592,1.6485,467.73,288.55,50.00,150.00
14,2,2.3109,3.1961,1.6485,664.21,356.31,50.00,150.00
14,4,-3.1697,5.3104,1.6485,136.24,274.17,50.00,150.00
15,1,1.0364,4.7714,1.6485,461.89,288.20,50.00,150.00
15,2,2.3591,3.1604,1.6485,673.59,358.65,50.00,150.00
15,4,-3.1551,5.3825,1.6485,140.53,272.51,50.00,150.00
16,1,1.0006,4.7469,1.6485,459.32,288.91,50.00,150.00
16,2,2.3740,3.1637,1.6485,675.16,358.43,50.00,150.00
16,4,-3.1417,5.4548,1.6485,144.62,270.88,50.00,150.00
17,1,0.9822,4.7100,1.6485,458.41,290.00,50.00,150.00
17,2,2.3777,3.1748,1.6485,674.57,357.70,50.00,150.00
17,4,-3.1292,5.5273,1.6485,148.55,269.30,50.00,150.00
18,1,0.9740,4.6665,1.6485,458.49,291.31,50.00,150.00
18,2,2.3754,3.1894,1.6485,672.92,356.75,50.00,150.00
18,4,-3.1170,5.5999,1.6485,152.35,267.75,50.00,150.00
19,1,0.9722,4.6179,1.6485,459.21,292.79,50.00,150.00
19,2,2.3689,3.2071,1.6485,670.46,355.61,50.00,150.00
19,4,-3.1051,5.6725,1.6485,156.04,266.25,50.00,150.00
20,1,0.9467,4.5865,1.6485,457.56,293.77,50.00,150.00
20,2,2.3769,3.2162,1.6485,670.61,355.02,50.00,150.00
20,4,-3.0934,5.7451,1.6485,159.63,264.78,50.00,150.00
21,1,0.9104,4.5653,1.6485,454.77,294.44,50.00,150.00
21,2,2.3910,3.2211,1.6485,671.91,354.71,50.00,150.00
21,4,-3.0817,5.8178,1.6485,163.12,263.34,50.00,150.00
22,1,0.8670,4.5493,1.6485,451.23,294.94,50.00,150.00
22,2,2.4098,3.2240,1.6485,673.98,354.53,50.00,150.00
22,4,-3.0700,5.8904,1.6485,166.52,261.94,50.00,150.00
23,1,0.8441,4.5164,1.6485,449.76,296.00,50.00,150.00
23,2,2.4151,3.2363,1.6485,673.50,353.75,50.00,150.00
23,4,-3.0584,5.9631,1.6485,169.84,260.58,50.00,150.00
24,1,0.8333,4.4758,1.6485,449.47,297.33,50.00,150.00
24,2,2.4134,3.2521,1.6485,671.84,352.76,50.00,150.00
24,4,-3.0468,6.0357,1.6485,173.08,259.25,50.00,150.00
25,1,0.8055,4.4466,1.6485,447.46,298.29,50.00,150.00
25,2,2.4231,3.2633,1.6485,672.02,352.07,50.00,150.00
25,4,-3.0352,6.1084,1.6485,176.25,257.95,50.00,150.00
26,1,0.7916,4.4080,1.6485,446.83,299.59,50.00,150.00
26,2,2.4238,3.2789,1.6485,670.69,351.10,50.00,150.00
26,4,-3.0236,6.1810,1.6485,179.33,256.68,50.00,150.00
27,1,0.7627,4.3793,1.6485,444.66,300.57,50.00,150.00
27,2,2.4347,3.2907,1.6485,670.95,350.38,50.00,150.00
27,4,-3.0119,6.2537,1.6485,182.35,255.44,50.00,150.00
28,1,0.7249,4.3559,1.6485,441.57,301.38,50.00,150.00
28,2,2.4516,3.3007,1.6485,672.10,349.78,50.00,150.00
28,4,-3.0004,6.3263,1.6485,185.29,254.23,50.00,150.00
29,1,0.7053,4.3193,1.6485,440.32,302.66,50.00,150.00
29,2,2.4557,3.3174,1.6485,671.10,348.77,50.00,150.00
29,4,-2.9887,6.3990,1.6485,188.17,253.05,50.00,150.00
30,1,0.6965,4.2759,1.6485,440.16,304.21,50.00,150.00
30,2,2.4525,3.3372,1.6485,668.96,347.59,50.00,150.00
30,4,-2.9772,6.4716,1.6485,190.99,251.89,50.00,150.00
31,1,0.6699,4.2418,1.6485,438.17,305.45,50.00,150.00
31,2,2.4622,3.3537,1.6485,668.67,346.62,50.00,150.00
31,4,-2.9656,6.5443,1.6485,193.74,250.76,50.00,150.00
32,1,0.6570,4.1992,1.6485,437.58,307.03,50.00,150.00
32,2,2.4620,3.3741,1.6485,666.87,345.43,50.00,150.00
32,4,-2.9540,6.6169,1.6485,196.43,249.65,50.00,150.00
33,1,0.6283,4.1646,1.6485,435.35,308.33,50.00,150.00
33,2,2.4733,3.3919,1.6485,666.67,344.41,50.00,150.00
33,4,-2.9424,6.6896,1.6485,199.06,248.57,50.00,150.00
34,1,0.6142,4.1211,1.6485,434.61,310.01,50.00,150.00
34,2,2.4737,3.4136,1.6485,664.85,343.17,50.00,150.00
34,4,-2.9308,6.7623,1.6485,201.64,247.51,50.00,150.00
35,1,0.5848,4.0846,1.6485,432.27,311.44,50.00,150.00
35,2,2.4853,3.4332,1.6485,664.56,342.06,50.00,150.00
35,4,-2.9192,6.8349,1.6485,204.16,246.48,50.00,150.00
36,1,0.5704,4.0392,1.6485,431.48,313.25,50.00,150.00
36,2,2.4856,3.4568,1.6485,662.62,340.76,50.00,150.00
36,4,-2.9076,6.9076,1.6485,206.63,245.46,50.00,150.00
37,1,0.5650,3.9881,1.6485,431.66,315.34,50.00,150.00
37,2,2.4789,3.4829,1.6485,659.69,339.32,50.00,150.00
37,4,-2.8960,6.9802,1.6485,209.05,244.47,50.00,150.00
38,1,0.5397,3.9445,1.6485,429.73,317.17,50.00,150.00
38,2,2.4873,3.5074,1.6485,658.67,338.00,50.00,150.00
38,4,-2.8844,7.0529,1.6485,211.42,243.49,50.00,150.00
39,1,0.5032,3.9049,1.6485,426.54,318.87,50.00,150.00
39,2,2.5041,3.5310,1.6485,658.67,336.74,50.00,150.00
39,4,-2.8728,7.1255,1.6485,213.73,242.54,50.00,150.00
40,1,0.4849,3.8548,1.6485,425.31,321.06,50.00,150.00
40,2,2.5062,3.5592,1.6485,656.66,335.27,50.00,150.00
40,4,-2.8612,7.1982,1.6485,216.01,241.61,50.00,150.00
41,1,0.4774,3.7986,1.6485,425.27,323.59,50.00,150.00
