frame,track_id,world_pX,world_pZ,world_pY,cov_00,cov_01,cov_02,cov_10,cov_11,cov_12,cov_20,cov_21,cov_22
3,1,0.738917,3.807889,1.969445,0.003310,0.000000,0.000000,0.000000,0.036250,0.000000,0.000000,0.000000,0.003310
3,2,-1.930047,4.795147,1.624356,0.006729,0.000000,0.000000,0.000000,0.057484,0.000000,0.000000,0.000000,0.006729
3,3,2.739719,5.342947,1.656422,0.006826,0.000000,0.000000,0.000000,0.071368,0.000000,0.000000,0.000000,0.006826
3,4,2.686844,3.862058,1.641453,0.006705,0.000000,0.000000,0.000000,0.037289,0.000000,0.000000,0.000000,0.006705
4,1,0.744305,3.785000,1.958624,0.003169,0.000000,0.000000,0.000000,0.035816,0.000000,0.000000,0.000000,0.003169
4,2,-1.896815,4.792096,1.637038,0.006580,0.000000,0.000000,0.000000,0.057410,0.000000,0.000000,0.000000,0.006580
4,3,2.773462,5.381857,1.648119,0.006762,0.000000,0.000000,0.000000,0.072411,0.000000,0.000000,0.000000,0.006762
4,4,2.691886,3.881895,1.627786,0.006619,0.000000,0.000000,0.000000,0.037673,0.000000,0.000000,0.000000,0.006619
4,5,1.026159,6.317235,1.658949,0.006654,0.000000,0.000000,0.000000,0.099769,0.000000,0.000000,0.000000,0.006654
5,1,0.734023,3.769741,1.957973,0.003026,0.000000,0.000000,0.000000,0.035527,0.000000,0.000000,0.000000,0.003026
5,2,-1.854267,4.666209,1.606936,0.005965,0.000000,0.000000,0.000000,0.054434,0.000000,0.000000,0.000000,0.005965
5,3,2.812511,5.400168,1.632097,0.006422,0.000000,0.000000,0.000000,0.072905,0.000000,0.000000,0.000000,0.006422
5,4,2.703900,3.862058,1.619584,0.006112,0.000000,0.000000,0.000000,0.037289,0.000000,0.000000,0.000000,0.006112
5,5,1.039300,6.297399,1.660956,0.006674,0.000000,0.000000,0.000000,0.099143,0.000000,0.000000,0.000000,0.006674
6,1,0.735126,3.771267,1.951008,0.002937,0.000000,0.000000,0.000000,0.035556,0.000000,0.000000,0.000000,0.002937
6,2,-1.857262,4.645609,1.620469,0.005830,0.000000,0.000000,0.000000,0.053954,0.000000,0.000000,0.000000,0.005830
6,3,2.828160,5.393301,1.623220,0.006235,0.000000,0.000000,0.000000,0.072719,0.000000,0.000000,0.000000,0.006235
6,4,2.725456,3.841459,1.614741,0.005893,0.000000,0.000000,0.000000,0.036892,0.000000,0.000000,0.000000,0.005893
6,5,1.037199,6.293584,1.667640,0.006504,0.000000,0.000000,0.000000,0.099023,0.000000,0.000000,0.000000,0.006504
7,1,0.733272,3.777371,1.951349,0.002853,0.000000,0.000000,0.000000,0.035671,0.000000,0.000000,0.000000,0.002853
7,2,-1.907687,4.709697,1.637446,0.005902,0.000000,0.000000,0.000000,0.055453,0.000000,0.000000,0.000000,0.005902
7,3,2.835573,5.404746,1.624808,0.006141,0.000000,0.000000,0.000000,0.073028,0.000000,0.000000,0.000000,0.006141
7,4,2.718313,3.786526,1.616366,0.005664,0.000000,0.000000,0.000000,0.035844,0.000000,0.000000,0.000000,0.005664
7,5,1.034050,6.282903,1.678258,0.006221,0.000000,0.000000,0.000000,0.098687,0.000000,0.000000,0.000000,0.006221
8,1,0.731001,3.771267,1.950450,0.002787,0.000000,0.000000,0.000000,0.035556,0.000000,0.000000,0.000000,0.002787
8,2,-1.939143,4.734875,1.672358,0.005835,0.000000,0.000000,0.000000,0.056048,0.000000,0.000000,0.000000,0.005835
8,3,2.855357,5.407034,1.639275,0.006060,0.000000,0.000000,0.000000,0.073090,0.000000,0.000000,0.000000,0.006060
8,4,2.696147,3.745327,1.620502,0.005524,0.000000,0.000000,0.000000,0.035069,0.000000,0.000000,0.000000,0.005524
8,5,1.008874,6.268406,1.667804,0.006166,0.000000,0.000000,0.000000,0.098232,0.000000,0.000000,0.000000,0.006166
9,1,0.725548,3.778134,1.951623,0.002845,0.000000,0.000000,0.000000,0.035686,0.000000,0.000000,0.000000,0.002845
9,2,-1.956121,4.767681,1.733569,0.005979,0.000000,0.000000,0.000000,0.056827,0.000000,0.000000,0.000000,0.005979
9,3,2.861932,5.390250,1.648749,0.005905,0.000000,0.000000,0.000000,0.072637,0.000000,0.000000,0.000000,0.005905
9,4,2.671357,3.712520,1.610867,0.005470,0.000000,0.000000,0.000000,0.034457,0.000000,0.000000,0.000000,0.005470
